Geography Id,Tract Name,Total
22071000100,"Census Tract 1, Orleans Parish, Louisiana",2289
22071000200,"Census Tract 2, Orleans Parish, Louisiana",1136
22071000300,"Census Tract 3, Orleans Parish, Louisiana",1176
22071000400,"Census Tract 4, Orleans Parish, Louisiana",2060
22071000601,"Census Tract 6.01, Orleans Parish, Louisiana",1045
22071000602,"Census Tract 6.02, Orleans Parish, Louisiana",2477
22071000603,"Census Tract 6.03, Orleans Parish, Louisiana",1491
22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",3960
22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",2070
22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",4112
22071000607,"Census Tract 6.07, Orleans Parish, Louisiana",3702
22071000611,"Census Tract 6.11, Orleans Parish, Louisiana",3548
22071000612,"Census Tract 6.12, Orleans Parish, Louisiana",1747
22071000615,"Census Tract 6.15, Orleans Parish, Louisiana",3278
22071000616,"Census Tract 6.16, Orleans Parish, Louisiana",4388
22071000617,"Census Tract 6.17, Orleans Parish, Louisiana",3854
22071000618,"Census Tract 6.18, Orleans Parish, Louisiana",3611
22071000619,"Census Tract 6.19, Orleans Parish, Louisiana",2123
22071000620,"Census Tract 6.20, Orleans Parish, Louisiana",2533
22071000701,"Census Tract 7.01, Orleans Parish, Louisiana",1074
22071000702,"Census Tract 7.02, Orleans Parish, Louisiana",1755
22071000800,"Census Tract 8, Orleans Parish, Louisiana",1738
22071000901,"Census Tract 9.01, Orleans Parish, Louisiana",1138
22071000902,"Census Tract 9.02, Orleans Parish, Louisiana",708
22071000903,"Census Tract 9.03, Orleans Parish, Louisiana",915
22071000904,"Census Tract 9.04, Orleans Parish, Louisiana",1147
22071001100,"Census Tract 11, Orleans Parish, Louisiana",1865
22071001200,"Census Tract 12, Orleans Parish, Louisiana",1698
22071001301,"Census Tract 13.01, Orleans Parish, Louisiana",1942
22071001302,"Census Tract 13.02, Orleans Parish, Louisiana",1380
22071001401,"Census Tract 14.01, Orleans Parish, Louisiana",1689
22071001402,"Census Tract 14.02, Orleans Parish, Louisiana",2061
22071001500,"Census Tract 15, Orleans Parish, Louisiana",1140
22071001600,"Census Tract 16, Orleans Parish, Louisiana",160
22071001701,"Census Tract 17.01, Orleans Parish, Louisiana",2103
22071001702,"Census Tract 17.02, Orleans Parish, Louisiana",3206
22071001720,"Census Tract 17.20, Orleans Parish, Louisiana",4258
22071001723,"Census Tract 17.23, Orleans Parish, Louisiana",4694
22071001724,"Census Tract 17.24, Orleans Parish, Louisiana",4984
22071001736,"Census Tract 17.36, Orleans Parish, Louisiana",2235
22071001737,"Census Tract 17.37, Orleans Parish, Louisiana",3647
22071001739,"Census Tract 17.39, Orleans Parish, Louisiana",1716
22071001740,"Census Tract 17.40, Orleans Parish, Louisiana",4390
22071001741,"Census Tract 17.41, Orleans Parish, Louisiana",1472
22071001743,"Census Tract 17.43, Orleans Parish, Louisiana",2314
22071001744,"Census Tract 17.44, Orleans Parish, Louisiana",4668
22071001745,"Census Tract 17.45, Orleans Parish, Louisiana",3416
22071001746,"Census Tract 17.46, Orleans Parish, Louisiana",4744
22071001747,"Census Tract 17.47, Orleans Parish, Louisiana",3599
22071001748,"Census Tract 17.48, Orleans Parish, Louisiana",4084
22071001749,"Census Tract 17.49, Orleans Parish, Louisiana",2562
22071001750,"Census Tract 17.50, Orleans Parish, Louisiana",4867
22071001751,"Census Tract 17.51, Orleans Parish, Louisiana",1044
22071001752,"Census Tract 17.52, Orleans Parish, Louisiana",3133
22071001753,"Census Tract 17.53, Orleans Parish, Louisiana",2257
22071001754,"Census Tract 17.54, Orleans Parish, Louisiana",3265
22071001755,"Census Tract 17.55, Orleans Parish, Louisiana",3305
22071001756,"Census Tract 17.56, Orleans Parish, Louisiana",1495
22071001757,"Census Tract 17.57, Orleans Parish, Louisiana",1280
22071001758,"Census Tract 17.58, Orleans Parish, Louisiana",1794
22071001800,"Census Tract 18, Orleans Parish, Louisiana",1335
22071001900,"Census Tract 19, Orleans Parish, Louisiana",1492
22071002000,"Census Tract 20, Orleans Parish, Louisiana",1413
22071002100,"Census Tract 21, Orleans Parish, Louisiana",1110
22071002200,"Census Tract 22, Orleans Parish, Louisiana",1351
22071002300,"Census Tract 23, Orleans Parish, Louisiana",2119
22071002401,"Census Tract 24.01, Orleans Parish, Louisiana",1639
22071002402,"Census Tract 24.02, Orleans Parish, Louisiana",2949
22071002501,"Census Tract 25.01, Orleans Parish, Louisiana",2034
22071002502,"Census Tract 25.02, Orleans Parish, Louisiana",2199
22071002503,"Census Tract 25.03, Orleans Parish, Louisiana",1836
22071002504,"Census Tract 25.04, Orleans Parish, Louisiana",2303
22071002600,"Census Tract 26, Orleans Parish, Louisiana",1134
22071002700,"Census Tract 27, Orleans Parish, Louisiana",1324
22071002800,"Census Tract 28, Orleans Parish, Louisiana",1540
22071002900,"Census Tract 29, Orleans Parish, Louisiana",1238
22071003000,"Census Tract 30, Orleans Parish, Louisiana",1215
22071003100,"Census Tract 31, Orleans Parish, Louisiana",1335
22071003301,"Census Tract 33.01, Orleans Parish, Louisiana",2622
22071003302,"Census Tract 33.02, Orleans Parish, Louisiana",3339
22071003303,"Census Tract 33.03, Orleans Parish, Louisiana",2295
22071003304,"Census Tract 33.04, Orleans Parish, Louisiana",2347
22071003307,"Census Tract 33.07, Orleans Parish, Louisiana",1350
22071003308,"Census Tract 33.08, Orleans Parish, Louisiana",4063
22071003400,"Census Tract 34, Orleans Parish, Louisiana",1343
22071003500,"Census Tract 35, Orleans Parish, Louisiana",1452
22071003600,"Census Tract 36, Orleans Parish, Louisiana",1462
22071003701,"Census Tract 37.01, Orleans Parish, Louisiana",1883
22071003702,"Census Tract 37.02, Orleans Parish, Louisiana",3460
22071003800,"Census Tract 38, Orleans Parish, Louisiana",1277
22071003900,"Census Tract 39, Orleans Parish, Louisiana",1228
22071004000,"Census Tract 40, Orleans Parish, Louisiana",1939
22071004100,"Census Tract 41, Orleans Parish, Louisiana",1429
22071004401,"Census Tract 44.01, Orleans Parish, Louisiana",1543
22071004402,"Census Tract 44.02, Orleans Parish, Louisiana",1038
22071004500,"Census Tract 45, Orleans Parish, Louisiana",2154
22071004600,"Census Tract 46, Orleans Parish, Louisiana",2711
22071004800,"Census Tract 48, Orleans Parish, Louisiana",1122
22071004900,"Census Tract 49, Orleans Parish, Louisiana",1794
22071005000,"Census Tract 50, Orleans Parish, Louisiana",1697
22071005400,"Census Tract 54, Orleans Parish, Louisiana",1816
22071005500,"Census Tract 55, Orleans Parish, Louisiana",2846
22071005601,"Census Tract 56.01, Orleans Parish, Louisiana",2872
22071005602,"Census Tract 56.02, Orleans Parish, Louisiana",3186
22071005603,"Census Tract 56.03, Orleans Parish, Louisiana",1778
22071005604,"Census Tract 56.04, Orleans Parish, Louisiana",1915
22071006000,"Census Tract 60, Orleans Parish, Louisiana",1812
22071006300,"Census Tract 63, Orleans Parish, Louisiana",2077
22071006400,"Census Tract 64, Orleans Parish, Louisiana",2591
22071006500,"Census Tract 65, Orleans Parish, Louisiana",2651
22071006900,"Census Tract 69, Orleans Parish, Louisiana",1399
22071007000,"Census Tract 70, Orleans Parish, Louisiana",1926
22071007101,"Census Tract 71.01, Orleans Parish, Louisiana",1898
22071007200,"Census Tract 72, Orleans Parish, Louisiana",2321
22071007501,"Census Tract 75.01, Orleans Parish, Louisiana",2271
22071007502,"Census Tract 75.02, Orleans Parish, Louisiana",2917
22071007604,"Census Tract 76.04, Orleans Parish, Louisiana",1894
22071007605,"Census Tract 76.05, Orleans Parish, Louisiana",1397
22071007607,"Census Tract 76.07, Orleans Parish, Louisiana",2912
22071007608,"Census Tract 76.08, Orleans Parish, Louisiana",1723
22071007700,"Census Tract 77, Orleans Parish, Louisiana",2481
22071007800,"Census Tract 78, Orleans Parish, Louisiana",1113
22071008200,"Census Tract 82, Orleans Parish, Louisiana",1546
22071008300,"Census Tract 83, Orleans Parish, Louisiana",1062
22071008400,"Census Tract 84, Orleans Parish, Louisiana",1145
22071008500,"Census Tract 85, Orleans Parish, Louisiana",1198
22071008600,"Census Tract 86, Orleans Parish, Louisiana",1137
22071008800,"Census Tract 88, Orleans Parish, Louisiana",1534
22071009000,"Census Tract 90, Orleans Parish, Louisiana",1877
22071009100,"Census Tract 91, Orleans Parish, Louisiana",1933
22071009200,"Census Tract 92, Orleans Parish, Louisiana",1267
22071009400,"Census Tract 94, Orleans Parish, Louisiana",1481
22071009600,"Census Tract 96, Orleans Parish, Louisiana",1321
22071009700,"Census Tract 97, Orleans Parish, Louisiana",1280
22071009900,"Census Tract 99, Orleans Parish, Louisiana",2859
22071010000,"Census Tract 100, Orleans Parish, Louisiana",1625
22071010100,"Census Tract 101, Orleans Parish, Louisiana",2021
22071010200,"Census Tract 102, Orleans Parish, Louisiana",1905
22071010300,"Census Tract 103, Orleans Parish, Louisiana",2784
22071010600,"Census Tract 106, Orleans Parish, Louisiana",1419
22071010700,"Census Tract 107, Orleans Parish, Louisiana",1753
22071010800,"Census Tract 108, Orleans Parish, Louisiana",1358
22071010900,"Census Tract 109, Orleans Parish, Louisiana",2750
22071011100,"Census Tract 111, Orleans Parish, Louisiana",1643
22071011200,"Census Tract 112, Orleans Parish, Louisiana",1331
22071011400,"Census Tract 114, Orleans Parish, Louisiana",1901
22071011500,"Census Tract 115, Orleans Parish, Louisiana",1450
22071011600,"Census Tract 116, Orleans Parish, Louisiana",1325
22071011700,"Census Tract 117, Orleans Parish, Louisiana",3202
22071011900,"Census Tract 119, Orleans Parish, Louisiana",1704
22071012000,"Census Tract 120, Orleans Parish, Louisiana",1443
22071012101,"Census Tract 121.01, Orleans Parish, Louisiana",2658
22071012102,"Census Tract 121.02, Orleans Parish, Louisiana",5272
22071012200,"Census Tract 122, Orleans Parish, Louisiana",2078
22071012300,"Census Tract 123, Orleans Parish, Louisiana",1924
22071012400,"Census Tract 124, Orleans Parish, Louisiana",1719
22071012500,"Census Tract 125, Orleans Parish, Louisiana",1866
22071012600,"Census Tract 126, Orleans Parish, Louisiana",1820
22071012700,"Census Tract 127, Orleans Parish, Louisiana",2221
22071012800,"Census Tract 128, Orleans Parish, Louisiana",2336
22071012900,"Census Tract 129, Orleans Parish, Louisiana",1347
22071013000,"Census Tract 130, Orleans Parish, Louisiana",1569
22071013100,"Census Tract 131, Orleans Parish, Louisiana",1533
22071013200,"Census Tract 132, Orleans Parish, Louisiana",2476
22071013301,"Census Tract 133.01, Orleans Parish, Louisiana",3730
22071013302,"Census Tract 133.02, Orleans Parish, Louisiana",3609
22071013400,"Census Tract 134, Orleans Parish, Louisiana",4351
22071013501,"Census Tract 135.01, Orleans Parish, Louisiana",1194
22071013502,"Census Tract 135.02, Orleans Parish, Louisiana",1052
22071013600,"Census Tract 136, Orleans Parish, Louisiana",968
22071013701,"Census Tract 137.01, Orleans Parish, Louisiana",1351
22071013702,"Census Tract 137.02, Orleans Parish, Louisiana",1638
22071013800,"Census Tract 138, Orleans Parish, Louisiana",2732
22071013900,"Census Tract 139, Orleans Parish, Louisiana",1647
22071014000,"Census Tract 140, Orleans Parish, Louisiana",2122
22071014101,"Census Tract 141.01, Orleans Parish, Louisiana",1487
22071014102,"Census Tract 141.02, Orleans Parish, Louisiana",808
22071014200,"Census Tract 142, Orleans Parish, Louisiana",1570
22071014300,"Census Tract 143, Orleans Parish, Louisiana",2147
22071014400,"Census Tract 144, Orleans Parish, Louisiana",1422
22071014500,"Census Tract 145, Orleans Parish, Louisiana",1628
22071980000,"Census Tract 9800, Orleans Parish, Louisiana",8
22071980100,"Census Tract 9801, Orleans Parish, Louisiana",8
22071990000,"Census Tract 9900, Orleans Parish, Louisiana",0
22071013301,"Census Tract 133.01, Orleans Parish, Louisiana",3730